Input Size,Insertion Sort Time,Merge Sort Time
10,0.000007,0.000022
20,0.000019,0.000029
30,0.000031,0.000054
40,0.000058,0.000086
50,0.000103,0.0001
60,0.000131,0.000146
70,0.000169,0.000097
80,0.000142,0.000158
90,0.000237,0.000127
100,0.000327,0.000215
110,0.000433,0.00021
120,0.000455,0.000204
130,0.000521,0.000221
140,0.000455,0.000232
150,0.00089,0.000278
160,0.000744,0.00029
170,0.000856,0.000341
180,0.000746,0.000299
190,0.000827,0.0003
200,0.001018,0.000352
210,0.000961,0.000323
220,0.001102,0.00034
230,0.001336,0.000522
240,0.00261,0.000657
250,0.00252,0.00066
260,0.001886,0.000576
270,0.001962,0.000493
280,0.001996,0.000458
290,0.002086,0.000493
300,0.002449,0.000647
310,0.002206,0.000584
320,0.002265,0.000577
330,0.002588,0.000604
340,0.003067,0.000589
350,0.002779,0.000643
360,0.003088,0.000591
370,0.003361,0.00064
380,0.003479,0.000629
390,0.003887,0.00071
400,0.003757,0.000679
410,0.003859,0.000746
420,0.004207,0.000792
430,0.004612,0.000785
440,0.00509,0.000753
450,0.005312,0.000798
460,0.006472,0.00084
470,0.006661,0.000878
480,0.006654,0.000891
490,0.005973,0.000908
500,0.005735,0.00086
510,0.005913,0.000908
520,0.00657,0.000956
530,0.006871,0.000995
540,0.0066,0.001007
550,0.00684,0.000991
560,0.007311,0.001067
570,0.007818,0.001096
580,0.008282,0.001026
590,0.008559,0.001051
600,0.00855,0.001111
610,0.009153,0.001186
620,0.009541,0.001122
630,0.00939,0.001134
640,0.010156,0.001217
650,0.010386,0.001268
660,0.010155,0.001267
670,0.011169,0.001231
680,0.011506,0.001341
690,0.012134,0.001346
700,0.012414,0.001273
710,0.011577,0.00139
720,0.012819,0.001397
730,0.013319,0.001356
740,0.013339,0.001382
750,0.0135,0.001389
760,0.013865,0.001488
770,0.015442,0.001524
780,0.015931,0.001472
790,0.015742,0.001531
800,0.016011,0.001626
810,0.01577,0.001603
820,0.016057,0.001597
830,0.017017,0.001823
840,0.018662,0.002323
850,0.019088,0.001718
860,0.018091,0.001689
870,0.018993,0.001735
880,0.01942,0.001679
890,0.019515,0.001751
900,0.019489,0.00183
910,0.021182,0.001697
920,0.020355,0.001764
930,0.021532,0.001844
940,0.022094,0.001826
950,0.021566,0.001829
960,0.022756,0.001843
970,0.02378,0.001882
980,0.023985,0.001905
990,0.024327,0.00202
